,gene_name,ensembl_id
562,AC099552.4,ENSG00000217825
563,AC099850.1,ENSG00000224738
564,AC100821.2,ENSG00000280473
565,AC100830.3,ENSG00000259635
566,AC100830.4,ENSG00000265967
567,AC100830.5,ENSG00000264937
568,AC103563.9,ENSG00000231062
569,AC104024.1,ENSG00000230709
570,AC104532.2,ENSG00000267314
571,AC104532.4,ENSG00000267571
572,AC104653.1,ENSG00000228857
573,AC104654.2,ENSG00000234362
574,AC104667.3,ENSG00000234949
575,AC104695.4,ENSG00000227938
576,AC104699.1,ENSG00000224220
577,AC104794.4,ENSG00000233502
578,AC104809.2,ENSG00000223991
579,AC104820.2,ENSG00000234663
580,AC104984.4,ENSG00000265289
581,AC105052.2,ENSG00000279168
582,AC105393.1,ENSG00000236856
583,AC105402.4,ENSG00000231079
584,AC105760.2,ENSG00000227252
585,AC106053.1,ENSG00000224626
586,AC106786.1,ENSG00000223652
587,AC106801.1,ENSG00000253519
588,AC107079.1,ENSG00000224844
589,AC107081.5,ENSG00000236498
590,AC108004.2,ENSG00000273172
591,AC108142.1,ENSG00000177822
592,AC108448.3,ENSG00000234791
593,AC108488.4,ENSG00000242282
594,AC108868.5,ENSG00000231505
595,AC108925.1,ENSG00000279524
596,AC108938.5,ENSG00000257207
597,AC109333.10,ENSG00000227495
598,AC109642.1,ENSG00000235997
599,AC109826.1,ENSG00000226791
600,AC110615.1,ENSG00000279909
601,AC112715.2,ENSG00000224132
602,AC112721.1,ENSG00000222022
603,AC112721.2,ENSG00000222032
604,AC113167.1,ENSG00000214942
605,AC113189.5,ENSG00000233223
606,AC113404.1,ENSG00000254893
607,AC114271.2,ENSG00000274425
608,AC114730.2,ENSG00000235151
609,AC114763.1,ENSG00000230569
610,AC115522.3,ENSG00000268601
611,AC116035.1,ENSG00000227260
612,AC116366.6,ENSG00000234290
613,AC116614.1,ENSG00000235688
614,AC123023.1,ENSG00000236452
615,AC123512.1,ENSG00000279037
616,AC124312.1,ENSG00000279735
617,AC124944.3,ENSG00000226155
618,AC129492.1,ENSG00000279152
619,AC129778.2,ENSG00000184906
620,AC130469.2,ENSG00000267986
621,AC131056.3,ENSG00000274767
622,AC131056.5,ENSG00000278097
623,AC131097.4,ENSG00000216921
624,AC131263.1,ENSG00000280550
625,AC133528.2,ENSG00000228989
626,AC133644.2,ENSG00000280721
627,AC135050.5,ENSG00000261124
628,AC137932.4,ENSG00000268218
629,AC137934.1,ENSG00000260923
630,AC138028.1,ENSG00000280603
631,AC138035.1,ENSG00000250765
632,AC138969.4,ENSG00000183889
633,AC139887.4,ENSG00000233799
634,AC140725.4,ENSG00000259553
635,AC140912.1,ENSG00000261227
636,AC141272.1,ENSG00000277836
637,AC141928.1,ENSG00000250986
638,AC142472.6,ENSG00000276728
639,AC142528.1,ENSG00000235078
640,AC144449.1,ENSG00000231969
641,AC144450.1,ENSG00000228613
642,AC144450.2,ENSG00000203635
643,AC144652.1,ENSG00000273117
644,AC144831.1,ENSG00000261888
645,AC144831.3,ENSG00000274370
646,AC144836.1,ENSG00000262213
647,AC145110.1,ENSG00000253490
648,AC145124.2,ENSG00000255495
649,AC145212.2,ENSG00000274847
650,AC145212.4,ENSG00000277400
651,AC145343.2,ENSG00000265055
652,AC147651.1,ENSG00000234471
653,AC147651.4,ENSG00000237181
654,AC159540.1,ENSG00000230606
655,AC159540.2,ENSG00000278766
656,AC195454.1,ENSG00000249241
657,AC226118.1,ENSG00000249574
658,AC233755.1,ENSG00000275063
659,AC233755.2,ENSG00000277856
660,AC234582.1,ENSG00000279487
661,AC234582.2,ENSG00000279986
662,AC240274.1,ENSG00000271254
663,AC241377.2,ENSG00000281741
664,AC241585.2,ENSG00000281571
665,AC242988.1,ENSG00000278939
666,AC245100.1,ENSG00000280649
667,AC253572.1,ENSG00000278882
668,ACAA1,ENSG00000060971
669,ACAA2,ENSG00000167315
670,ACACA,ENSG00000278540
671,ACACB,ENSG00000076555
672,ACAD10,ENSG00000111271
673,ACAD11,ENSG00000240303
674,ACAD8,ENSG00000151498
675,ACAD9,ENSG00000177646
676,ACADL,ENSG00000115361
677,ACADM,ENSG00000117054
678,ACADS,ENSG00000122971
679,ACADSB,ENSG00000196177
680,ACADVL,ENSG00000072778
681,ACAN,ENSG00000157766
682,ACAP1,ENSG00000072818
683,ACAP2,ENSG00000114331
684,ACAP3,ENSG00000131584
685,ACAT1,ENSG00000075239
686,ACAT2,ENSG00000120437
687,ACBD3,ENSG00000182827
688,ACBD4,ENSG00000181513
689,ACBD5,ENSG00000107897
690,ACBD6,ENSG00000230124
691,ACBD7,ENSG00000176244
692,ACCS,ENSG00000110455
693,ACD,ENSG00000102977
694,ACE,ENSG00000159640
695,ACE2,ENSG00000130234
696,ACER1,ENSG00000167769
697,ACER2,ENSG00000177076
698,ACER3,ENSG00000078124
699,ACHE,ENSG00000087085
700,ACIN1,ENSG00000100813
701,ACKR1,ENSG00000213088
702,ACKR2,ENSG00000144648
703,ACKR3,ENSG00000144476
704,ACKR4,ENSG00000129048
705,ACLY,ENSG00000131473
706,ACMSD,ENSG00000153086
707,ACO1,ENSG00000122729
708,ACO2,ENSG00000100412
709,ACOT1,ENSG00000184227
710,ACOT11,ENSG00000162390
711,ACOT13,ENSG00000112304
712,ACOT2,ENSG00000119673
713,ACOT4,ENSG00000177465
714,ACOT7,ENSG00000097021
715,ACOT8,ENSG00000101473
716,ACOT9,ENSG00000123130
717,ACOX1,ENSG00000161533
718,ACOX2,ENSG00000168306
719,ACOX3,ENSG00000087008
720,ACOXL,ENSG00000153093
721,ACP1,ENSG00000143727
722,ACP2,ENSG00000134575
723,ACP5,ENSG00000102575
724,ACP6,ENSG00000162836
725,ACP7,ENSG00000183760
726,ACPP,ENSG00000014257
727,ACR,ENSG00000100312
728,ACRBP,ENSG00000111644
729,ACRC,ENSG00000147174
730,ACSBG1,ENSG00000103740
731,ACSBG2,ENSG00000130377
732,ACSF2,ENSG00000167107
733,ACSF3,ENSG00000176715
734,ACSL1,ENSG00000151726
735,ACSL3,ENSG00000123983
736,ACSL4,ENSG00000068366
737,ACSL5,ENSG00000197142
738,ACSL6,ENSG00000164398
739,ACSM1,ENSG00000166743
740,ACSM2A,ENSG00000183747
741,ACSM2B,ENSG00000066813
742,ACSM3,ENSG00000005187
743,ACSM5,ENSG00000183549
744,ACSM6,ENSG00000173124
745,ACSS1,ENSG00000154930
746,ACSS2,ENSG00000131069
747,ACSS3,ENSG00000111058
748,ACTA1,ENSG00000143632
749,ACTA2,ENSG00000107796
750,ACTA2-AS1,ENSG00000180139
751,ACTB,ENSG00000075624
752,ACTC1,ENSG00000159251
753,ACTG1,ENSG00000184009
754,ACTG2,ENSG00000163017
755,ACTL10,ENSG00000182584
756,ACTL6A,ENSG00000136518
757,ACTL7B,ENSG00000148156
758,ACTN1,ENSG00000072110
759,ACTN1-AS1,ENSG00000259062
760,ACTN2,ENSG00000077522
761,ACTN3,ENSG00000248746
762,ACTN4,ENSG00000130402
763,ACTR10,ENSG00000131966
764,ACTR1A,ENSG00000138107
765,ACTR1B,ENSG00000115073
766,ACTR2,ENSG00000138071
767,ACTR3,ENSG00000115091
768,ACTR3B,ENSG00000133627
769,ACTR3C,ENSG00000106526
770,ACTR5,ENSG00000101442
771,ACTR6,ENSG00000075089
772,ACTR8,ENSG00000113812
773,ACTRT3,ENSG00000184378
774,ACVR1,ENSG00000115170
775,ACVR1B,ENSG00000135503
776,ACVR1C,ENSG00000123612
777,ACVR2A,ENSG00000121989
778,ACVR2B,ENSG00000114739
779,ACVR2B-AS1,ENSG00000229589
780,ACVRL1,ENSG00000139567
781,ACY1,ENSG00000243989
782,ACY3,ENSG00000132744
783,ACYP1,ENSG00000119640
784,ACYP2,ENSG00000170634
785,ADA,ENSG00000196839
786,ADAD2,ENSG00000140955
787,ADAL,ENSG00000168803
